Date,Open,High,Low,Close
2018-11-29,11300.42,11372.83,11278.56,11350.2
2018-11-30,11391.39,11421.4,11329.62,11364.07
2018-12-03,11425.01,11440.46,11348.18,11389.77
2018-12-04,11403.06,11404.48,11338.44,11369.48
2018-12-05,11337.38,11340.78,11248.06,11279.1
2018-12-06,11222.38,11223.84,11076.31,11086.91
2018-12-07,11143.41,11196.14,11093.49,11180.41
2018-12-10,11037.84,11046.68,10956.87,10969.21
2018-12-11,10858.76,11059.06,10817.53,11039.42
2018-12-12,11075.48,11246.08,11046.69,11232.03
2018-12-13,11308.06,11340.29,11250.07,11290.31
2018-12-14,11302.39,11324.45,11255.89,11307.11
2018-12-17,11354.94,11414.16,11354.94,11402.46
2018-12-18,11392.28,11430.96,11333.05,11423.46
2018-12-19,11454.66,11496.19,11442.34,11476.43
2018-12-20,11427.4,11473.4,11390.79,11459.77
2018-12-21,11464.65,11474.96,11235.39,11252.38
2018-12-24,11286.82,11299.84,11148.29,11163
2018-12-26,11154.58,11240.94,11021.69,11222.37
2018-12-27,11321.23,11333.83,11264.55,11271.23
2018-12-28,11305.1,11398.54,11305.1,11363.71
2018-12-31,11411.84,11432.12,11359.31,11367.43
2019-01-01,11395.71,11425.11,11310.18,11415.23
2019-01-02,11390.25,11403.3,11242.81,11290.13
2019-01-03,11302.53,11324.37,11158.45,11168.3
2019-01-04,11193.29,11235.32,11124.35,11219.17
2019-01-07,11310.09,11329.03,11243.68,11257.46
2019-01-08,11290.46,11314.48,11227.57,11294.31
2019-01-09,11350.6,11370.87,11246.52,11350.89
2019-01-10,11364.02,11367.39,11307.93,11321.38
2019-01-11,11346.37,11353.65,11241.11,11292.14
2019-01-14,11324.31,11327.42,11189.33,11235.24
2019-01-15,11264.64,11397.93,11264.64,11387.91
2019-01-16,11406.31,11435.41,11379.66,11392.41
2019-01-17,11420.57,11438.23,11347.59,11408.86
2019-01-18,11423.06,11437.43,11360.53,11408.06
2019-01-21,11429.7,11496.21,11394.17,11455.68
2019-01-22,11474.84,11474.99,11366.19,11420.51
2019-01-23,11436.08,11447.59,11314.04,11333.77
2019-01-24,11345.29,11375,11302.25,11356.87
2019-01-25,11376.77,11441.22,11256.76,11278.82
2019-01-28,11305.35,11309.87,11126.3,11151.22
2019-01-29,11167.27,11182.09,11074.21,11141.06
2019-01-30,11204.84,11213.47,11097.82,11130.96
2019-01-31,11190.1,11331.69,11168.58,11326.58
2019-02-01,11346.64,11480.22,11307.91,11389.55
2019-02-04,11389.26,11423.26,11310.17,11410.34
2019-02-05,11410.36,11454.19,11384.72,11424.13
2019-02-06,11458.75,11566.51,11449.66,11553.66
2019-02-07,11571.85,11614.71,11539.51,11563.12
2019-02-08,11536.14,11539.33,11396.08,11417.46
2019-02-11,11423.33,11423.79,11328.53,11361.16
2019-02-12,11363.53,11384.32,11290.27,11300.4
2019-02-13,11339.51,11367.49,11236.19,11257.15
2019-02-14,11263.72,11274.91,11188.58,11213.62
2019-02-15,11242.74,11252.55,11080.73,11181.91
2019-02-18,11195.35,11218.68,11081.67,11091.3
2019-02-19,11106.77,11182.8,11036.76,11056
2019-02-20,11117.76,11203.72,11099.63,11192.39
2019-02-21,11213.15,11273.03,11184.25,11248.99
2019-02-22,11255.66,11270.59,11226.66,11254.37
2019-02-25,11286.09,11361.57,11258.46,11353.57
2019-02-26,11287.4,11354.24,11194.93,11296.24
2019-02-27,11343.89,11411.51,11217.33,11268.66
2019-02-28,11309.32,11326.32,11251.95,11262.85
2019-03-01,11306.53,11343.68,11288.96,11328.29
2019-03-05,11346.65,11458.35,11282.77,11454.36
2019-03-06,11491.15,11525.02,11465.01,11513.94
2019-03-07,11547.42,11557.88,11490.43,11520.7
2019-03-08,11526.51,11526.51,11472.05,11498.1
2019-03-11,11522.84,11648.32,11519.4,11631.82
2019-03-12,11695.18,11792.41,11690.96,11771.85
2019-03-13,11794.1,11830.92,11752.4,11817.79
2019-03-14,11844.85,11861.78,11790.04,11819.96
2019-03-15,11823.61,11961.14,11823.36,11893.67
2019-03-18,11926.28,11998.08,11879.33,11923.12
2019-03-19,11962.31,12007.58,11916.32,11997.13
2019-03-20,12017.97,12026.17,11974.39,11989.16
2019-03-22,12012.35,12044.41,11903.66,11925.7
2019-03-25,11884.67,11884.67,11779.73,11823.13
2019-03-26,11846.52,11965.47,11819.88,11948.06
2019-03-27,11988.46,12016.78,11880.42,11917.78
2019-03-28,11941.8,12058.39,11924.26,12042.79
2019-03-29,12083.98,12106.93,12049.02,12090.72
2019-04-01,12147.67,12220.61,12127,12146.48
2019-04-02,12184.27,12204.88,12135.46,12187.21
2019-04-03,12220.44,12244.78,12113.91,12128.79
2019-04-04,12146.55,12148.01,12040.33,12080.43
2019-04-05,12127.89,12172.35,12092.58,12144.04
2019-04-08,12174.67,12193.02,12029.46,12081.16
2019-04-09,12090.35,12165.33,12049.27,12153.37
2019-04-10,12141.94,12160.41,12048.76,12060.75
2019-04-11,12072.22,12084.24,12028.38,12073.03
2019-04-12,12097.75,12138.89,12061.31,12123.86
2019-04-15,12137.45,12188.46,12132.75,12169.65
2019-04-16,12211.65,12301.9,12211.65,12277.41
2019-04-18,12323.11,12342.2,12216.14,12231.99
2019-04-22,12232.73,12232.87,12057.93,12074.93
2019-04-23,12111.31,12129.91,12043.25,12057.65
2019-04-24,12088.96,12223.18,12059.78,12211.83
2019-04-25,12225.83,12281.58,12112.07,12131
2019-04-26,12171.42,12242.74,12148,12231.44
2019-04-30,12230.07,12251.23,12141.78,12230.27
2019-05-02,12231.53,12273.81,12184.34,12202
